date,price

2021-09-20,282.83

2021-09-21,282.18999

2021-09-22,274.47

2021-09-23,268.34888

2021-09-24,266.39

2021-09-29,283.57

2021-09-30,288.14

2021-10-01,287.36

2021-10-02,286.9069230769231

2021-10-03,287.78423076923076

2021-10-04,288.5271153846154

2021-10-05,284.2903846153846
2021-10-11,300.19153846153847
2021-10-12,317.945
2021-10-14,315.90769230769234
2021-10-16,282.419423076923
2021-10-27,311.29846153846154
2021-11-01,273.8271153846154
2021-11-03,289.95961538461535
2021-11-14,255.70999999999998
2021-12-07,273.6938461538462
2021-12-12,256.7851923076923
2021-12-13,266.0575
2021-11-08,257.14673076923077
2021-11-09,255.21559999999997
2021-11-12,252.9659615384615
2021-11-13,255.70999999999998
